Fluid Dynamics,0.0,0.0,0.0044444444444444444,0.0,0.00906344410876133,0.0,0.03169014084507042,0.02046783625730994,0.006134969325153374,0.014492753623188406,0.0171990171990172,0.007352941176470588,0.04,0.0365296803652968,0.049773755656108594,0.03076923076923077,0.05944055944055944,0.08833922261484099,0.05555555555555555,0.07389937106918239,0.060759493670886074,0.046251993620414676,0.0499219968798752,0.03672316384180791,0.04148660328435609,0.046493301812450746,0.04950495049504951
Meteorology,0.05555555555555555,0.013745704467353952,0.05333333333333334,0.024390243902439025,0.030211480362537766,0.011111111111111112,0.03873239436619718,0.029239766081871343,0.05112474437627812,0.047619047619047616,0.07125307125307126,0.04656862745098039,0.043333333333333335,0.045662100456621,0.00904977375565611,0.03461538461538462,0.06993006993006994,0.0636042402826855,0.027777777777777776,0.029874213836477988,0.020253164556962026,0.03827751196172249,0.0218408736349454,0.015536723163841809,0.016421780466724288,0.013396375098502758,0.0297029702970297
Atomic Physics,0.0,0.0,0.0,0.003048780487804878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015723270440251573,0.03417721518987342,0.01594896331738437,0.0234009360374415,0.022598870056497175,0.04753673292999136,0.05594956658786446,0.09900990099009901
Chemistry 1,0.2111111111111111,0.14776632302405499,0.14222222222222222,0.10975609756097561,0.09365558912386707,0.07777777777777778,0.07394366197183098,0.0935672514619883,0.08588957055214724,0.08488612836438923,0.04914004914004914,0.11029411764705882,0.07,0.1050228310502283,0.1583710407239819,0.17692307692307693,0.15734265734265734,0.17667844522968199,0.1574074074074074,0.09905660377358491,0.07341772151898734,0.04146730462519936,0.0078003120124804995,0.00423728813559322,0.005185825410544511,0.002364066193853428,0.0
Chemistry 2,0.0,0.003436426116838488,0.0,0.003048780487804878,0.0030211480362537764,0.0,0.0035211267605633804,0.005847953216374269,0.0,0.004140786749482402,0.014742014742014743,0.014705882352941176,0.07,0.0958904109589041,0.17647058823529413,0.10384615384615385,0.045454545454545456,0.038869257950530034,0.06018518518518518,0.02358490566037736,0.0379746835443038,0.05582137161084529,0.0842433697347894,0.052259887005649715,0.08124459809853068,0.0764381402679275,0.019801980198019802
Astronomy,0.07777777777777778,0.048109965635738834,0.03111111111111111,0.027439024390243903,0.01812688821752266,0.07222222222222222,0.04225352112676056,0.06140350877192982,0.05521472392638037,0.045548654244306416,0.0343980343980344,0.058823529411764705,0.043333333333333335,0.0319634703196347,0.07239819004524888,0.06923076923076923,0.08391608391608392,0.13780918727915195,0.05092592592592592,0.0330188679245283,0.05063291139240506,0.017543859649122806,0.0234009360374415,0.031073446327683617,0.019878997407087293,0.008668242710795903,0.009900990099009901
Optics,0.03333333333333333,0.030927835051546393,0.013333333333333334,0.009146341463414634,0.012084592145015106,0.016666666666666666,0.03169014084507042,0.023391812865497075,0.018404907975460124,0.010351966873706004,0.03194103194103194,0.02696078431372549,0.04666666666666667,0.1004566210045662,0.07692307692307693,0.057692307692307696,0.038461538461538464,0.03180212014134275,0.037037037037037035,0.029874213836477988,0.056962025316455694,0.044657097288676235,0.0390015600624025,0.0423728813559322,0.04407951598962835,0.030732860520094562,0.009900990099009901
Biography,0.02962962962962963,0.024054982817869417,0.017777777777777778,0.04573170731707317,0.05740181268882175,0.016666666666666666,0.017605633802816902,0.043859649122807015,0.06952965235173825,0.06418219461697723,0.06388206388206388,0.061274509803921566,0.06666666666666667,0.0319634703196347,0.049773755656108594,0.06923076923076923,0.045454545454545456,0.06713780918727916,0.046296296296296294,0.11635220125786164,0.11012658227848102,0.07496012759170653,0.0405616224648986,0.0423728813559322,0.03025064822817632,0.022852639873916468,0.009900990099009901
Biochemistry,0.0,0.0,0.0,0.0,0.0,0.005555555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013888888888888888,0.0047169811320754715,0.006329113924050633,0.006379585326953748,0.0202808112324493,0.029661016949152543,0.04753673292999136,0.05988967691095351,0.009900990099009901
Measurement,0.040740740740740744,0.05154639175257732,0.08444444444444445,0.051829268292682924,0.045317220543806644,0.03333333333333333,0.035211267605633804,0.11403508771929824,0.065439672801636,0.053830227743271224,0.05896805896805897,0.08823529411764706,0.056666666666666664,0.0867579908675799,0.04072398190045249,0.026923076923076925,0.0979020979020979,0.04240282685512368,0.032407407407407406,0.05660377358490566,0.060759493670886074,0.05741626794258373,0.06708268330733229,0.052259887005649715,0.03889369057908384,0.03309692671394799,0.0297029702970297
Biology 3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00408997955010225,0.002070393374741201,0.004914004914004914,0.0,0.0033333333333333335,0.0091324200913242,0.00904977375565611,0.038461538461538464,0.03496503496503497,0.014134275618374558,0.041666666666666664,0.03773584905660377,0.024050632911392405,0.03349282296650718,0.0483619344773791,0.043785310734463276,0.049265341400172864,0.05200945626477541,0.019801980198019802
Biology 1,0.007407407407407408,0.006872852233676976,0.0044444444444444444,0.006097560975609756,0.0030211480362537764,0.0,0.01056338028169014,0.017543859649122806,0.006134969325153374,0.014492753623188406,0.007371007371007371,0.022058823529411766,0.01,0.0182648401826484,0.00904977375565611,0.0,0.01048951048951049,0.007067137809187279,0.0,0.0110062893081761,0.01139240506329114,0.006379585326953748,0.0124804992199688,0.022598870056497175,0.023336214347450302,0.017336485421591805,0.0594059405940594
